water_district,wdid,admin_number,admin_date
1,0105180,14154.00000,1888-10-01
1,0105181,39170.00000,1957-03-30
1,0105181,14154.00000,1888-10-01
1,0105182,34514.00000,1944-06-30
1,0105182,14154.00000,1888-10-01
1,0105183,32677.00000,1939-06-20
1,0105183,14154.00000,1888-10-01
1,0105184,38897.00000,1956-06-30
1,0105184,14154.00000,1888-10-01
1,0105185,34453.00000,1944-04-30
1,0105185,14154.00000,1888-10-01
1,0105186,41541.00000,1963-09-26
1,0105186,14154.00000,1888-10-01
1,0105187,33022.00000,1940-05-30
1,0105187,11979.00000,1882-10-18
1,0105187,32962.00000,1940-03-31
1,0105187,6685.00000,1868-04-20
1,0105187,13985.00000,1888-04-15
1,0105187,11859.00000,1882-06-20
1,0105187,7075.00000,1869-05-15
1,0105188,31926.00000,1937-05-30
1,0105188,14154.00000,1888-10-01
1,0105189,18687.00000,1901-03-01
1,0105189,33753.00000,1942-05-31
1,0105190,18687.00000,1901-03-01
1,0105190,38836.00000,1956-04-30
1,0105191,31216.00000,1935-06-20
1,0105191,11979.00000,1882-10-18
1,0105192,38715.00000,1955-12-31
1,0105192,11979.00000,1882-10-18
1,0105193,33043.00000,1940-06-20
1,0105193,11979.00000,1882-10-18
1,0105194,30902.00000,1934-08-10
1,0105194,11979.00000,1882-10-18
1,0105195,32656.00000,1939-05-30
1,0105195,11979.00000,1882-10-18
1,0105196,42519.00000,1966-05-31
1,0105196,42490.00000,1966-05-02
1,0105197,30851.00000,1934-06-20
1,0105197,11979.00000,1882-10-18
1,0105198,36279.00000,1949-04-30
1,0105198,11979.00000,1882-10-18
1,0105200,31216.00000,1935-06-20
1,0105200,11979.00000,1882-10-18
1,0105205,38521.00000,1955-06-20
1,0105205,14154.00000,1888-10-01
1,0105206,39160.00000,1957-03-20
1,0105206,14154.00000,1888-10-01
1,0105207,38201.00000,1954-08-04
1,0105207,14154.00000,1888-10-01
1,0105208,38531.00000,1955-06-30
1,0105208,14154.00000,1888-10-01
1,0105209,38531.00000,1955-06-30
1,0105209,14154.00000,1888-10-01
1,0105210,31226.00000,1935-06-30
1,0105210,11979.00000,1882-10-18
1,0105211,35823.00000,1948-01-30
1,0105211,14154.00000,1888-10-01
1,0105212,38531.00000,1955-06-30
1,0105212,14154.00000,1888-10-01
1,0105213,38196.00000,1954-07-30
1,0105213,11979.00000,1882-10-18
1,0105214,38521.00000,1955-06-20
1,0105214,11979.00000,1882-10-18
1,0105215,38887.00000,1956-06-20
1,0105215,11979.00000,1882-10-18
1,0105216,38166.00000,1954-06-30
1,0105216,14154.00000,1888-10-01
1,0105218,33773.00000,1942-06-20
1,0105218,14154.00000,1888-10-01
1,0105219,38493.00000,1955-05-23
1,0105219,14154.00000,1888-10-01
1,0105220,39617.00000,1958-06-20
1,0105220,14154.00000,1888-10-01
1,0105221,38927.00000,1956-07-30
1,0105221,14154.00000,1888-10-01
1,0105222,38439.00000,1955-03-30
1,0105222,14154.00000,1888-10-01
1,0105223,31947.00000,1937-06-20
1,0105223,14154.00000,1888-10-01
1,0105225,38883.00000,1956-06-16
1,0105225,11979.00000,1882-10-18
1,0105226,44559.39171,1971-12-31
1,0105226,44559.24211,1971-12-31
1,0105227,44559.40328,1971-12-31
1,0105227,44559.24211,1971-12-31
1,0105228,44559.24211,1971-12-31
1,0105228,37801.00000,1953-06-30
1,0105229,38440.00000,1955-03-31
1,0105229,44559.24211,1971-12-31
1,0105230,35965.00000,1948-06-20
1,0105230,44559.24211,1971-12-31
1,0105231,39908.00000,1959-04-07
1,0105231,44559.24211,1971-12-31
1,0105232,39912.00000,1959-04-11
1,0105232,44559.24211,1971-12-31
1,0105233,41272.00000,1962-12-31
1,0105233,44559.24211,1971-12-31
1,0105234,34819.00000,1945-05-01
1,0105234,11979.00000,1882-10-18
1,0105234,44346.00000,1971-06-01
1,0105235,26662.00000,1922-12-31
1,0105235,44559.24211,1971-12-31
1,0105236,31045.00000,1934-12-31
1,0105236,44559.24211,1971-12-31
1,0105237,32871.00000,1939-12-31
1,0105237,44559.24211,1971-12-31
1,0105238,38197.00000,1954-07-31
1,0105238,18687.00000,1901-03-01
1,0105239,37472.00000,1952-08-05
1,0105239,14154.00000,1888-10-01
1,0105240,33602.00000,1941-12-31
1,0105240,44559.24211,1971-12-31
1,0105241,35793.00000,1947-12-31
1,0105241,44559.24211,1971-12-31
1,0105242,37254.00000,1951-12-31
1,0105242,44559.24211,1971-12-31
1,0105243,39446.00000,1957-12-31
1,0105243,44559.24211,1971-12-31
1,0105244,11809.00000,1882-05-01
1,0105244,33237.00000,1940-12-31
1,0105244,32962.00000,1940-03-31
1,0105246,11809.00000,1882-05-01
