district,year,tot_qaf
2,2009,91917.97
2,2010,91224.54
2,2011,98832.05
2,2012,54090.64
2,2013,66828.88
2,2014,101693.05
2,2015,203908.16
2,2016,73867.52
2,2017,74504.43
2,2018,47707.94
2,2019,119509.25
2,2020,76985.78
2,2021,66535.32
2,2022,66332.21
2,2023,21818.9
8,2002,38699.28
8,2003,43928.38
8,2004,52524.07
8,2005,49952.46
8,2006,80600.51
8,2007,117942.48
8,2008,106744.04
8,2009,91917.97
8,2010,91224.54
8,2011,98832.05
8,2012,54090.64
8,2013,66828.88
8,2014,101693.05
8,2015,203908.16
8,2016,73867.52
8,2017,74504.43
8,2018,47707.94
8,2019,119509.25
8,2020,76985.78
8,2021,66535.32
8,2022,66332.21
8,2023,21818.9
49,2002,38699.28
49,2003,43928.38
49,2004,52524.07
49,2005,49952.46
49,2006,80600.51
49,2007,117942.48
49,2008,106744.04
49,2009,91917.97
49,2010,91224.54
49,2011,98832.05
49,2012,54090.64
49,2013,66828.88
49,2014,101693.05
49,2015,203908.16
49,2016,73867.52
49,2017,74504.43
49,2018,47707.94
49,2019,119509.25
49,2020,76985.78
49,2021,66535.32
49,2022,66332.21
49,2023,21818.9
64,2002,38699.28
64,2003,43928.38
64,2004,52524.07
64,2005,49952.46
64,2006,80600.51
64,2007,117942.48
64,2008,106744.04
64,2009,91917.97
64,2010,91224.54
64,2011,98832.05
64,2012,54090.64
64,2013,66828.88
64,2014,101693.05
64,2015,203908.16
64,2016,73867.52
64,2017,74504.43
64,2018,47707.94
64,2019,119509.25
64,2020,76985.78
64,2021,66535.32
64,2022,66332.21
64,2023,21818.9
65,2002,38699.28
65,2003,43928.38
65,2004,52524.07
65,2005,49952.46
65,2006,80600.51
65,2007,117942.48
65,2008,106744.04
65,2009,91917.97
65,2010,91224.54
65,2011,98832.05
65,2012,54090.64
65,2013,66828.88
65,2014,101693.05
65,2015,203908.16
65,2016,73867.52
65,2017,74504.43
65,2018,47707.94
65,2019,119509.25
65,2020,76985.78
65,2021,66535.32
65,2022,66332.21
65,2023,21818.9
