division,water_district,wdids
1,1,480
1,2,410
1,3,735
1,4,432
1,5,534
1,6,596
1,7,541
1,8,615
1,9,489
2,10,380
2,11,868
2,12,695
2,13,660
2,14,108
2,15,177
2,16,287
2,17,291
2,18,58
2,19,344
3,20,740
3,21,128
3,22,270
1,23,630
3,24,101
3,25,271
3,26,336
3,27,78
4,28,661
7,29,635
7,30,1141
7,31,557
7,32,483
7,33,264
7,34,293
3,35,152
5,36,692
5,37,1221
5,38,2243
5,39,624
4,40,2369
4,41,565
4,42,348
6,43,1227
6,44,2136
5,45,616
7,46,82
6,47,824
1,48,112
1,49,27
5,50,266
5,51,1018
5,52,290
5,53,707
6,54,389
6,55,249
6,56,376
6,57,473
6,58,1492
4,59,1034
4,60,1378
4,61,57
4,62,836
4,63,231
1,64,273
1,65,69
2,66,227
2,67,355
4,68,626
7,69,42
5,70,201
7,71,164
5,72,1336
4,73,98
1,76,11
7,77,141
7,78,271
2,79,296
1,80,405
